timestamp,time_elapsed,model_type,model_timestamp,classes,imaging_date,tray,filename,conserved_identifier,USDA_number,CHUM_number_if_from_NCGR,other_name,PM,infected_threshold,healthy_threshold,sal_threshold,inf_gate,spor_th,leaf_mask_th,clear_patches,hyphal_patches,conidiophore_patches,sporulating_pct,discarded_patches,severity_rate_patch,Gradient_sr2,Gradient-SG_sr2,GradCAM_sr2
NA,0m 43s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,244-W2021009-285_R2,W2021009-285,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,436,211,49,7.040229885057471,63,37.36,NA,1.06,4.26
NA,0m 37s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,245-W2021009-285_R2,W2021009-285,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,599,77,19,2.7338129496402876,42,13.81,NA,0.4,1.62
NA,0m 56s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,246-W2021009-285_R2,W2021009-285,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,6,220,427,65.3905053598775,8,99.08,NA,3.09,13.77
NA,1m 0s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,247-Nugget_R2,Nugget,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,12,92,634,85.90785907859079,2,98.37,NA,3.08,15.14
NA,0m 58s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,248-Nugget_R2,Nugget,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,10,13,690,96.7741935483871,1,98.6,NA,2.96,15.34
NA,1m 1s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,249-Nugget_R2,Nugget,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,0,21,731,97.20744680851064,1,100,NA,3.14,16.47
NA,1m 1s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,250-W2021006-605_R2,W2021006-605,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,0,67,688,91.12582781456952,1,100,NA,3.33,15.92
NA,0m 57s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,251-W2021006-605_R2,W2021006-605,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,38,219,431,62.645348837209305,10,94.48,NA,3,12.35
NA,0m 54s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,252-W2021006-605_R2,W2021006-605,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,141,292,281,39.35574229691877,9,80.25,NA,2.55,10.79
NA,0m 29s,ResNet,Jan29_22-02-46_2026,2,10-5-2023_5dpi,1,001-W2021006-099_R1,W2021006-099,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,721,10,0,0,18,1.37,NA,0.04,0.15
NA,0m 29s,ResNet,Jan29_22-02-46_2026,2,10-5-2023_5dpi,1,002-W2021006-099_R1,W2021006-099,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,640,37,0,0,38,5.47,NA,0.16,0.78
NA,0m 42s,ResNet,Jan29_22-02-46_2026,2,10-5-2023_5dpi,1,003-W2021006-099_R1,W2021006-099,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,262,384,18,2.710843373493976,63,60.54,NA,1.73,7.77
NA,0m 51s,ResNet,Jan29_22-02-46_2026,2,10-5-2023_5dpi,1,004-W2021009-272_R1,W2021009-272,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,95,574,52,7.212205270457697,26,86.82,NA,2.76,13.09
NA,0m 54s,ResNet,Jan29_22-02-46_2026,2,10-5-2023_5dpi,1,005-W2021009-272_R1,W2021009-272,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,52,611,75,10.16260162601626,10,92.95,NA,2.99,15.07
NA,0m 55s,ResNet,Jan29_22-02-46_2026,2,10-5-2023_5dpi,1,006-W2021009-272_R1,W2021009-272,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,34,617,89,12.027027027027028,12,95.41,NA,3.09,15.51
