filename,stem,run_time,model_type,model_timestamp,epoch,rel_th,prob_th,min_area,step,batch_size,leaf_patch_min,pred_white_pixels,leaf_pixels,total_pixels,pct_infected_of_leaf,pct_infected_of_image,mask_path
127-W2021006-143_R2.png,127-W2021006-143_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,566989,34694427,45413508,1.6342,1.2485,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\127-W2021006-143_R2_leaf_pred.png
127-W2021009-292_R2.png,127-W2021009-292_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,4559040,36934460,45413508,12.3436,10.039,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\127-W2021009-292_R2_leaf_pred.png
128-W2021006-013_R1.png,128-W2021006-013_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1373349,33102041,45413508,4.1488,3.0241,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\128-W2021006-013_R1_leaf_pred.png
129-W2021006-119_R2.png,129-W2021006-119_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1094353,36829286,45413508,2.9714,2.4098,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\129-W2021006-119_R2_leaf_pred.png
132-W2021010-399_R1.png,132-W2021010-399_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,466172,34870796,45413508,1.3369,1.0265,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\132-W2021010-399_R1_leaf_pred.png
132-W2021011-644_R2.png,132-W2021011-644_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,470844,38002329,45413508,1.239,1.0368,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\132-W2021011-644_R2_leaf_pred.png
134-W2021006-001_R1.png,134-W2021006-001_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,821293,35030086,45413508,2.3445,1.8085,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\134-W2021006-001_R1_leaf_pred.png
134-W2021009-275_R1.png,134-W2021009-275_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1181680,35558364,45413508,3.3232,2.602,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\134-W2021009-275_R1_leaf_pred.png
137-W2021010-342_R2.png,137-W2021010-342_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,757047,36439941,45413508,2.0775,1.667,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\137-W2021010-342_R2_leaf_pred.png
138-W2021010-446_R1.png,138-W2021010-446_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,572414,36753187,45413508,1.5575,1.2604,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\138-W2021010-446_R1_leaf_pred.png
