filename,run_time,model_type,model_timestamp,epoch,rel_th,prob_th,min_area,step,batch_size,leaf_patch_min,pred_white_pixels,leaf_pixels,total_pixels,pct_infected_of_leaf,pct_infected_of_image,mask_path
124-W2021009-278_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1759299,33492558,45413508,5.2528,3.874,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\124-W2021009-278_R1_leaf_pred.png
126-W2021009-278_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,3473355,38284064,45413508,9.0726,7.6483,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\126-W2021009-278_R2_leaf_pred.png
131-W2021009-252_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,574765,32537631,45413508,1.7665,1.2656,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\131-W2021009-252_R2_leaf_pred.png
132-W2021009-252_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,320635,34317854,45413508,0.9343,0.706,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\132-W2021009-252_R1_leaf_pred.png
135-W2021011-581_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1256956,35935537,45413508,3.4978,2.7678,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\135-W2021011-581_R1_leaf_pred.png
137-W2021006-128_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,7300254,36591711,45413508,19.9506,16.0751,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\137-W2021006-128_R2_leaf_pred.png
146-W2021006-613_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,2754998,36929146,45413508,7.4602,6.0665,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\146-W2021006-613_R1_leaf_pred.png
149-W2021011-462_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,3237660,34113191,45413508,9.4909,7.1293,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\149-W2021011-462_R1_leaf_pred.png
151-W2021011-479_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,13049111,33087973,45413508,39.4376,28.734,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\151-W2021011-479_R2_leaf_pred.png
152-W2021010-301_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,483547,39034832,45413508,1.2388,1.0648,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\152-W2021010-301_R2_leaf_pred.png
152-W2021011-479_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,3242139,34340197,45413508,9.4412,7.1392,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\152-W2021011-479_R1_leaf_pred.png
154-W2021010-419_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,985175,33637203,45413508,2.9288,2.1693,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\154-W2021010-419_R2_leaf_pred.png
162-W2021011-551_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,7225739,37217663,45413508,19.4148,15.911,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\162-W2021011-551_R2_leaf_pred.png
